Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
basehock,ICL,1.0,100,512,1,0.09,300,0.5171600602107376,0.01520172080148897,0.011846287083497966,0.006261178155964398
basehock,ICL,0.6,100,512,1,0.08,300,0.5150275965880582,0.012811471459895312,0.01168203040242056,0.00900419658536885
basehock,ICL,0.35,100,512,1,0.03,200,0.5147516307074762,0.025755246127654473,0.015721515813575115,0.022254988828947646
basehock,ICL,0.45,100,512,1,0.03,50,0.5142247867536378,0.029661502499124873,0.01193801388359259,0.015286231678491401
basehock,ICL,0.3,100,512,1,0.03,100,0.51392373306573,0.0262926325082441,0.020655598016839503,0.033478186534330205
basehock,ICL,1.0,100,512,1,0.09,100,0.5134721525338687,0.00811585720021108,0.020129587012352658,0.010927486449490252
basehock,ICL,0.6,100,512,1,0.08,200,0.5134721525338686,0.009612625083482497,0.009776378369623402,0.009229119067553856
basehock,ICL,0.3,100,512,1,0.03,50,0.5131209232313096,0.02768233496957263,0.010159446273799135,0.013263826724625455
basehock,ICL,0.25,100,512,1,0.05,300,0.5130958354239838,0.015511002259543967,0.009072644572140444,0.008045311376073809
basehock,ICL,0.45,100,512,1,0.03,100,0.5130205720020071,0.022488795008162362,0.014799364439772627,0.01705459998207588
basehock,ICL,0.3,100,512,1,0.03,250,0.5128951329653788,0.02559231806352132,0.01318190560065147,0.018908232718138802
basehock,ICL,0.6,100,512,1,0.08,250,0.5128198695434019,0.01295024254760165,0.012890968191146993,0.014414500323151037
basehock,ICL,1.0,100,512,1,0.09,50,0.5122679377822379,0.005884628515540739,0.01540384084798466,0.008998600980604565
basehock,ICL,0.35,100,512,1,0.03,50,0.512117410938284,0.027352510466938956,0.00939776359750158,0.013748639283215191
basehock,ICL,0.15,100,512,1,0.02,50,0.5120923231309583,0.02330893583853568,0.011506774301137486,0.011021226948391997
basehock,ICL,0.25,100,512,1,0.03,200,0.5119668840943301,0.00980580305385497,0.009656479123316571,0.008709731761387925
basehock,ICL,0.3,100,512,1,0.03,150,0.5114400401404917,0.020119795834330604,0.014265093665343068,0.01377139646628339
basehock,ICL,0.45,100,512,1,0.03,150,0.5110386352232816,0.019549503828913996,0.009594673842726295,0.010172810347650937
basehock,ICL,0.35,100,512,1,0.03,300,0.5109131961866533,0.020898535024995196,0.012815615098379024,0.021034165005293017
basehock,ICL,0.15,100,512,1,0.01,50,0.5108379327646764,0.015756980535283065,0.006723986458276207,0.0034958439785194983
basehock,ICL,0.15,100,512,1,0.02,100,0.5106121424987455,0.018059928199571702,0.012576540096190377,0.009773711956049615
basehock,ICL,0.45,100,512,1,0.03,200,0.5102107375815352,0.016380839762151385,0.010033131225304226,0.011664848199058976
basehock,ICL,0.45,100,512,1,0.03,300,0.5100351229302559,0.01356366682480007,0.010156247118667083,0.009630843900778566
basehock,ICL,0.25,100,512,1,0.03,150,0.509959859508279,0.009357819391758976,0.011708231048724486,0.008571465286222773
basehock,ICL,0.3,100,512,1,0.01,100,0.5097842448569996,0.014674115642887975,0.00758968585723659,0.006278128703308482
basehock,ICL,0.25,100,512,1,0.03,300,0.5095333667837433,0.009950091327171081,0.008493651677933145,0.006296367700899438
basehock,ICL,0.15,100,512,1,0.02,300,0.5092824887104868,0.013449498398073476,0.014175959469404692,0.018106025139035503
basehock,ICL,0.3,100,512,1,0.01,50,0.5089061716006023,0.013626975507175435,0.007808416802365786,0.004859402638165081
basehock,ICL,0.15,100,512,1,0.02,250,0.5083793276467636,0.00878947310654487,0.011516237761563472,0.007222174254894545
basehock,ICL,0.2,100,512,1,0.01,50,0.5080531861515304,0.008925725691152618,0.007994033744415506,0.005673715550376591
basehock,ICL,0.15,100,512,1,0.01,100,0.5073758153537382,0.007223546090845129,0.010791251479539804,0.0068303064382151685
basehock,ICL,0.35,100,512,1,0.01,300,0.5070998494731562,0.009683081164621065,0.01109176954473089,0.013050165827703264
basehock,ICL,0.25,100,512,1,0.03,250,0.506748620170597,0.011687229831918245,0.005716036338302119,0.0041829514381767
basehock,ICL,0.15,100,512,1,0.02,150,0.5062970396387356,0.005285078734790006,0.009179371581640363,0.005968874171898107
basehock,ICL,0.3,100,512,1,0.01,300,0.5060461615654792,0.006647984922314672,0.009422264875817524,0.007468497076533466
