Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
coil20,ICL,0.25,100,512,1,0.05,250,0.6636111111111112,0.03684706778457395,0.7702611796269359,0.01728344191745019
coil20,ICL,0.3,100,512,1,0.1,50,0.6636111111111112,0.02673602092336881,0.7373343012647269,0.013241283697476057
coil20,ICL,0.1,100,512,1,0.07,200,0.6626388888888889,0.027809530462916867,0.7760588163454007,0.014298645405056478
coil20,ICL,0.1,100,512,1,0.07,200,0.6626388888888889,0.027809530462916867,0.7760588163454007,0.014298645405056478
coil20,ICL,0.45,100,512,1,0.07,200,0.6613541666666666,0.028972797313723413,0.756178694035217,0.012659190996310632
coil20,ICL,0.5,100,512,1,0.06,200,0.6594444444444444,0.044598474410601614,0.7784299339357355,0.015714842112140377
coil20,ICL,0.5,100,512,1,0.06,200,0.6594444444444444,0.044598474410601614,0.7784299339357355,0.015714842112140377
coil20,ICL,0.9,100,512,1,0.1,300,0.6586805555555555,0.026862076996307552,0.7751553559481726,0.01831813061650373
coil20,ICL,0.5,100,512,1,0.05,300,0.6583333333333334,0.037289144855762985,0.768300238528497,0.016440121704463868
coil20,ICL,0.5,100,512,1,0.05,300,0.6583333333333334,0.037289144855762985,0.768300238528497,0.016440121704463868
coil20,ICL,0.9,100,512,1,0.02,100,0.6582986111111111,0.0368464624612797,0.7864821854944442,0.013789423340552553
coil20,ICL,0.35,100,512,1,0.04,150,0.6580208333333333,0.028022769449840043,0.7765144128523629,0.015845362105927446
coil20,ICL,1.0,100,512,1,0.04,300,0.6579861111111112,0.03390745450013923,0.7551716510094104,0.013045899021846089
coil20,ICL,0.55,100,512,1,0.05,150,0.6577777777777778,0.03370782115162775,0.762723426977945,0.01444936292136224
coil20,ICL,0.7,100,512,1,0.08,100,0.6577430555555556,0.03248061135218561,0.7624922593621114,0.013607464864685717
coil20,ICL,0.6,100,512,1,0.02,150,0.6577430555555556,0.025920807509795602,0.7471666272258001,0.014131375468938372
coil20,ICL,0.25,100,512,1,0.05,150,0.6576388888888889,0.03273405157807462,0.7567932758658913,0.017304125690607196
coil20,ICL,0.9,100,512,1,0.04,200,0.6573611111111111,0.030518759410007576,0.7509567218281334,0.01570926121577557
coil20,ICL,0.4,100,512,1,0.06,100,0.657048611111111,0.044014453710305976,0.7840744933513762,0.020499383668255357
coil20,ICL,0.45,100,512,1,0.07,50,0.6559027777777777,0.035341355112287934,0.7506369579893285,0.012677864147706846
coil20,ICL,0.25,100,512,1,0.07,250,0.6558333333333333,0.02997829075625672,0.7820765232721911,0.013832585533180519
coil20,ICL,0.45,100,512,1,0.07,250,0.6557986111111112,0.02892448644800567,0.7577634908565593,0.01272904072535923
coil20,ICL,0.9,100,512,1,0.05,200,0.654513888888889,0.03826792174754912,0.7606581052798861,0.01629357422600361
coil20,ICL,0.3,100,512,1,0.08,250,0.6544444444444444,0.0202718313198815,0.7584378757961473,0.009000107753690352
coil20,ICL,0.95,100,512,1,0.02,100,0.6541666666666667,0.03156248090086208,0.7738047220624694,0.012412737414438667
coil20,ICL,0.4,100,512,1,0.07,300,0.6540625,0.03383610629372668,0.7614191597734599,0.014937048342376509
coil20,ICL,0.5,100,512,1,0.04,300,0.6538888888888889,0.03255930012594494,0.7617961905270085,0.013032594145732494
coil20,ICL,0.5,100,512,1,0.04,300,0.6538888888888889,0.03255930012594494,0.7617961905270085,0.013032594145732494
coil20,ICL,1.0,100,512,1,0.04,250,0.6538541666666668,0.03718584652408713,0.7575077423921506,0.011829479951568567
coil20,ICL,0.9,100,512,1,0.04,300,0.6537847222222223,0.027920186172561486,0.7562332252231038,0.012065963143192754
coil20,ICL,0.6,100,512,1,0.05,200,0.6530208333333334,0.024756993143165443,0.763158121874144,0.011935744055565193
coil20,ICL,0.2,100,512,1,0.11,250,0.6527083333333334,0.03512605441939179,0.7603782830048578,0.014566284360473409
coil20,ICL,0.95,100,512,1,0.04,300,0.6526041666666667,0.03792701514763926,0.7507974895979236,0.018699212738825046
coil20,ICL,0.9,100,512,1,0.08,250,0.6523611111111111,0.026279378034431155,0.7633311258665124,0.009748265583428237
coil20,ICL,0.6,100,512,1,0.02,250,0.6522916666666665,0.036846217057111205,0.7555462634196772,0.014026398144478406
coil20,ICL,0.9,100,512,1,0.04,250,0.6522222222222223,0.031167019457302162,0.7526570635251727,0.014220897467780047
coil20,ICL,0.15,100,512,1,0.05,150,0.6520486111111111,0.03996313586305833,0.7739230672179293,0.020982363440671233
coil20,ICL,0.3,100,512,1,0.04,300,0.6518402777777779,0.039005452170137886,0.7616305491935443,0.018662375528837594
